val_geracaoverificada;val_geracaoprogramada;val_fatorcapacidade
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
2.541;11.0;0.0091272535264388
49.567;132.5;0.1780443036383294
90.781;225.0;0.3260846920045833
106.416;230.0;0.3822454983351113
189.39;229.5;0.6802875030980937
222.303;217.0;0.7985107598142221
208.318;193.5;0.7482767414878752
211.186;162.5;0.7585785766369608
209.168;118.5;0.7513299353082109
130.628;69.5;0.4692148263091915
56.584;53.0;0.2032493166233831
40.568;36.0;0.1457199610627988
0.452;3.0;0.0016235807138726
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
1.701;11.0;0.0061099796334012
15.341;127.5;0.0551047604679648
73.825;171.0;0.2651788632779807
99.506;172.0;0.3574248285721469
181.569;172.0;0.6521945279582754
172.728;172.0;0.6204377202340542
210.45;172.0;0.7559348699878231
205.068;172.0;0.7366027651160034
100.604;172.0;0.3613688365894747
73.002;140.0;0.2622226532613497
85.672;55.0;0.3077332011480008
43.451;9.0;0.1560756761028315
6.626;0.0;0.0238005438276992
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.907;5.0;0.0032579374059346
23.183;45.0;0.083273167455109
46.457;105.0;0.1668732062486305
151.29;154.0;0.5434325800924578
189.922;171.0;0.682198443230351
110.107;172.0;0.3955035435008279
104.139;172.0;0.3740665308893414
126.952;172.0;0.456010661034422
62.873;165.0;0.2258393589011375
74.337;132.5;0.2670179635556417
94.099;55.0;0.338002923882082
77.684;9.0;0.2790403632223048
5.843;0.0;0.0209880135202606
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
8.811;6.5;0.0316490479423269
103.051;57.5;0.3701584427993117
172.698;133.0;0.62032996045216
168.935;195.0;0.6068132918098973
169.514;217.0;0.6088930556004554
235.928;218.0;0.8474516607578386
150.492;218.0;0.5405661698940721
178.399;218.0;0.6408079110047881
169.274;209.0;0.6080309773453018
103.376;168.0;0.3713258404364989
133.446;70.0;0.4793370618217868
98.317;11.0;0.3531539492164067
3.091;0.0;0.0111028495278325
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
3.691;3.5;0.0132580451657165
120.662;69.5;0.4334170267639378
224.315;141.0;0.8057378491865932
215.976;175.5;0.775784221812735
140.105;190.0;0.5032561414095696
161.494;203.5;0.5800852739074056
209.246;198.0;0.7516101107411358
176.494;174.5;0.6339651648545063
178.256;141.0;0.6402942560444257
141.632;111.5;0.5087411143079846
69.194;88.0;0.2485443449462458
27.208;57.5;0.097730938192581
1.169;4.5;0.004199039501144
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
7.08;15.0;0.0254313085270315
75.747;129.0;0.2720826733046692
155.938;210.5;0.5601281623005995
201.933;233.0;0.7253418679080593
166.781;234.0;0.5990761394698937
199.78;234.0;0.7176083075607854
197.962;234.0;0.7110780647779968
216.8;234.0;0.7787440238220957
219.86;234.0;0.7897355215753042
153.185;234.0;0.5502394063154415
25.461;207.0;0.0914557268936087
3.108;111.0;0.0111639134042392
1.586;5.5;0.0056969004694734
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
3.504;7.5;0.0125863425252427
103.714;143.0;0.3725399339791736
246.114;207.0;0.8840396987036498
253.234;214.0;0.9096146869398736
227.86;214.0;0.818471463413758
199.875;214.0;0.7179495468701171
232.127;214.0;0.8337984963918433
232.067;214.0;0.8335829768280549
178.98;214.0;0.6428948587808058
190.449;214.0;0.684091423398959
143.432;207.0;0.5152067012216367
185.035;162.5;0.6646443747597854
25.613;9.0;0.0920017097885393
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
5.379;11.0;0.0193213288936303
130.905;125.0;0.470209808295348
200.442;215.5;0.7199862067479175
226.67;251.5;0.814196992065288
214.568;253.0;0.7707266960491671
238.447;253.0;0.8564998904442217
245.871;253.0;0.8831668444703067
219.103;253.0;0.7870163830788406
200.424;242.5;0.719921550878781
167.072;227.0;0.6001214093542674
165.478;198.5;0.5943957729429555
119.984;128.0;0.4309816556931288
4.547;6.5;0.0163327909424311
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
7.202;9.5;0.0258695316400679
155.429;105.0;0.5582998380011278
265.674;191.5;0.9542990764986692
250.39;208.0;0.8993990596163033
228.007;208.0;0.8189994863450396
237.531;208.0;0.8532096251037187
241.674;208.0;0.868091250983308
233.597;208.0;0.8390787257046591
206.314;208.0;0.7410783880573425
203.643;206.0;0.7314841754760288
139.996;179.5;0.5028646142020208
42.702;108.0;0.1533852735482063
6.167;7.0;0.022151819164718
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
4.884;12.0;0.0175432924923759
31.225;119.5;0.1121599729882146
122.39;235.5;0.4396239902010438
189.603;279.0;0.6810525975495425
252.532;279.0;0.9070931080435491
264.756;279.0;0.9510016271727066
264.983;279.0;0.9518170095223728
241.247;279.0;0.8665574700876805
204.93;275.5;0.73610707011929
209.299;274.5;0.7518004863558156
73.066;256.0;0.2624525407960574
45.298;169.5;0.1627100866747845
12.948;10.0;0.0465091218655373
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
6.673;10.5;0.0239693674860002
88.844;105.5;0.3191270020869477
246.068;174.5;0.8838744670380787
205.265;205.5;0.7373103876837753
193.589;212.0;0.6953702805705521
157.212;215.0;0.5647043610383732
83.496;209.0;0.2999170249679414
111.022;201.0;0.398790216848601
164.713;192.5;0.5916478985046534
149.878;182.5;0.5383606863579709
229.502;161.5;0.8243695154761006
127.974;120.5;0.4596816776042845
7.631;6.5;0.027410496521155
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
