nom_estado;nom_pontoconexao;nom_modalidadeoperacao;nom_tipousina;nom_usina_conjunto;din_instante;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 00:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 01:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 02:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 03:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 04:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 05:00:00;1.5;0.196;278.397;0.0007040305750421
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 06:00:00;77.5;24.572;278.397;0.0882624453568105
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 07:00:00;166.0;152.229;278.397;0.5468054612657463
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 08:00:00;213.5;223.562;278.397;0.8030330786610487
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 09:00:00;229.0;185.796;278.397;0.6673778812271683
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 10:00:00;228.0;129.265;278.397;0.4643189402184649
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 11:00:00;220.0;122.883;278.397;0.4413948426168385
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 12:00:00;204.5;133.994;278.397;0.4813054738377209
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 13:00:00;182.0;125.527;278.397;0.4508920713944474
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 14:00:00;152.0;78.167;278.397;0.2807752957108014
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 15:00:00;113.5;49.937;278.397;0.1793733409483579
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 16:00:00;60.0;12.268;278.397;0.0440665668092687
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 17:00:00;2.5;0.043;278.397;0.0001544556873816
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 18:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 19:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 20:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 21:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 22:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-01 23:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-02 00:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-02 01:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-02 02:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-02 03:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-02 04:00:00;0.0;0.0;278.397;0.0
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-02 05:00:00;1.5;0.027;278.397;9.69838037047e-05
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-02 06:00:00;71.5;16.31;278.397;0.0585854014231475
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-02 07:00:00;157.0;30.041;278.397;0.1079070535961235
CEARA;ALEX230kVA;Conjunto de Usinas;Solar;Conj. Alex;2022-06-02 08:00:00;200.0;57.633;278.397;0.2070173169969503
