val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
4.5;0.567;278.397;0.0020366598778004
87.5;32.208;278.397;0.1156909018416146
175.5;118.535;278.397;0.4257768582276389
222.0;169.06;278.397;0.6072622909011232
235.5;228.647;278.397;0.8212983616921159
240.0;233.989;278.397;0.8404867868547434
237.0;271.209;278.397;0.9741807562581491
232.5;259.957;278.397;0.933763654062364
227.5;265.791;278.397;0.9547193396480564
220.0;258.816;278.397;0.9296651903576548
191.0;205.305;278.397;0.7374540673929675
116.5;60.188;278.397;0.2161948584216065
16.0;17.151;278.397;0.0616062673089149
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.5;0.777;278.397;0.0027909783510598
37.0;119.121;278.397;0.4278817659673056
128.5;208.619;278.397;0.749357931299547
189.0;22.092;278.397;0.0793543033868899
202.5;77.532;278.397;0.2784943803273742
205.5;112.482;278.397;0.4040345262341189
198.0;112.564;278.397;0.404329069637963
188.0;112.627;278.397;0.4045553651799408
185.5;112.735;278.397;0.40494330039476
186.5;128.482;278.397;0.4615064099110263
167.0;91.195;278.397;0.3275717769947233
102.0;90.733;278.397;0.3259122763535526
13.0;6.616;278.397;0.0237646239004012
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
3.0;1.174;278.397;0.004216999464793
74.5;93.595;278.397;0.3361925595462594
155.5;189.702;278.397;0.6814082048297934
197.0;114.331;278.397;0.4106761207915315
208.0;99.404;278.397;0.3570584453137066
214.5;99.522;278.397;0.3574823004558238
217.0;96.929;278.397;0.348168263307435
209.0;99.385;278.397;0.3569901974518403
192.5;132.942;278.397;0.4775266974859642
172.5;116.2;278.397;0.4173895552035402
139.5;62.35;278.397;0.2239607467034486
81.0;76.419;278.397;0.2744964924190993
11.0;11.262;278.397;0.0404530221230832
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
4.0;1.37;278.397;0.0049210300398351
85.0;65.782;278.397;0.2362884657521453
167.5;87.512;278.397;0.3143424677708452
200.0;87.186;278.397;0.3131714781409282
197.5;87.053;278.397;0.3126937431078639
196.0;87.309;278.397;0.3136132932466944
212.5;87.322;278.397;0.3136599891521819
226.5;87.35;278.397;0.3137605649486165
212.0;87.441;278.397;0.3140874362870289
189.0;87.419;278.397;0.3140084124469732
154.0;147.464;278.397;0.5296896159082174
92.0;165.723;278.397;0.5952758111617582
15.0;38.531;278.397;0.1384030718721825
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
4.0;1.884;278.397;0.0067673143029558
91.5;107.815;278.397;0.3872706961641109
167.5;237.03;278.397;0.8514100367460856
201.0;262.126;278.397;0.9415546862933148
208.0;257.566;278.397;0.9251751994453964
216.0;258.57;278.397;0.9287815601461222
223.5;242.824;278.397;0.8722220426225857
227.0;236.013;278.397;0.8477569801398721
221.0;210.941;278.397;0.7576985384181582
195.5;233.085;278.397;0.8372396254269981
151.0;158.372;278.397;0.568871072604949
84.5;111.328;278.397;0.3998893666239219
11.0;31.218;278.397;0.112134829039106
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
4.0;1.786;278.397;0.0064152990154347
84.0;71.558;278.397;0.2570358157595089
165.5;208.32;278.397;0.7482839254733348
206.5;259.994;278.397;0.933896557793367
219.0;267.506;278.397;0.960879607179675
224.0;274.868;278.397;0.987323857656512
228.0;244.974;278.397;0.8799448269916701
231.0;228.595;278.397;0.8211115780701659
225.5;213.175;278.397;0.7657230501765464
199.5;209.569;278.397;0.7527703243928634
149.5;111.144;278.397;0.3992284399616375
75.5;50.227;278.397;0.1804150188400018
9.5;16.988;278.397;0.0610207724939564
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
3.5;1.6;278.397;0.0057471883676907
80.5;80.757;278.397;0.2900785568810008
158.5;219.545;278.397;0.7886040438654152
199.0;220.183;278.397;0.7908957352270319
212.5;232.119;278.397;0.8337697604500048
218.5;225.008;278.397;0.8082271001483492
224.5;215.507;278.397;0.7740995772224557
228.5;237.155;278.397;0.8518590358373114
226.0;211.384;278.397;0.7592897911974626
203.5;131.263;278.397;0.4714957416926188
158.5;125.455;278.397;0.4506334479179014
88.5;36.431;278.397;0.1308598871395884
12.5;10.408;278.397;0.0373854603318282
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
3.5;1.581;278.397;0.0056789405058244
86.0;94.064;278.397;0.3378772041365388
162.5;226.67;278.397;0.814196992065288
200.0;270.491;278.397;0.971601705478148
209.5;210.068;278.397;0.7545627287650369
213.0;229.448;278.397;0.8241755478686911
212.5;219.752;278.397;0.7893475863604852
203.5;218.593;278.397;0.7851844667866392
190.5;246.78;278.397;0.886431965861701
176.0;230.896;278.397;0.8293767533414512
145.5;181.366;278.397;0.6514653534341246
88.0;140.59;278.397;0.504998257883526
11.0;22.768;278.397;0.0817824904722392
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
0.0;0.0;278.397;0.0
