din_instante;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
2022-09-01 00:00:00;0.0;0.0;278.397;0.0
2022-09-01 01:00:00;0.0;0.0;278.397;0.0
2022-09-01 02:00:00;0.0;0.0;278.397;0.0
2022-09-01 03:00:00;0.0;0.0;278.397;0.0
2022-09-01 04:00:00;0.0;0.0;278.397;0.0
2022-09-01 05:00:00;0.0;4.442;278.397;0.0159556317058014
2022-09-01 06:00:00;115.5;132.898;278.397;0.4773686498058527
2022-09-01 07:00:00;235.0;241.417;278.397;0.8671681088517476
2022-09-01 08:00:00;267.5;268.315;278.397;0.9637855292980888
2022-09-01 09:00:00;275.0;270.03;278.397;0.9699457968297072
2022-09-01 10:00:00;274.5;243.202;278.397;0.8735798158744525
2022-09-01 11:00:00;270.0;241.776;278.397;0.8684576342417482
2022-09-01 12:00:00;261.0;226.558;278.397;0.8137946888795498
2022-09-01 13:00:00;252.0;224.187;278.397;0.8052780741171779
2022-09-01 14:00:00;234.0;215.895;278.397;0.7754932704016207
2022-09-01 15:00:00;192.0;170.809;278.397;0.6135446861855551
2022-09-01 16:00:00;115.5;94.749;278.397;0.3403377191564564
2022-09-01 17:00:00;8.0;7.685;278.397;0.0276044641285646
2022-09-01 18:00:00;0.0;0.0;278.397;0.0
2022-09-01 19:00:00;0.0;0.0;278.397;0.0
2022-09-01 20:00:00;0.0;0.0;278.397;0.0
2022-09-01 21:00:00;0.0;0.0;278.397;0.0
2022-09-01 22:00:00;0.0;0.0;278.397;0.0
2022-09-01 23:00:00;0.0;0.0;278.397;0.0
2022-09-02 00:00:00;0.0;0.0;278.397;0.0
2022-09-02 01:00:00;0.0;0.0;278.397;0.0
2022-09-02 02:00:00;0.0;0.0;278.397;0.0
2022-09-02 03:00:00;0.0;0.0;278.397;0.0
2022-09-02 04:00:00;0.0;0.0;278.397;0.0
2022-09-02 05:00:00;3.5;4.756;278.397;0.0170835174229607
2022-09-02 06:00:00;126.0;137.353;278.397;0.4933709774171417
2022-09-02 07:00:00;243.0;249.938;278.397;0.8977754789024307
2022-09-02 08:00:00;269.5;270.035;278.397;0.9699637567933562
2022-09-02 09:00:00;271.0;273.227;278.397;0.9814293975868992
2022-09-02 10:00:00;271.0;272.809;278.397;0.97992794462584
2022-09-02 11:00:00;269.0;272.915;278.397;0.9803086958551996
2022-09-02 12:00:00;262.5;264.097;278.397;0.948634503963764
2022-09-02 13:00:00;254.0;217.789;278.397;0.7822965046318746
2022-09-02 14:00:00;234.0;226.133;278.397;0.8122680919693818
2022-09-02 15:00:00;179.0;205.126;278.397;0.7368111006943321
2022-09-02 16:00:00;86.5;92.067;278.397;0.3307039946551148
2022-09-02 17:00:00;7.0;3.138;278.397;0.0112716731861334
2022-09-02 18:00:00;0.0;0.0;278.397;0.0
2022-09-02 19:00:00;0.0;0.0;278.397;0.0
2022-09-02 20:00:00;0.0;0.0;278.397;0.0
2022-09-02 21:00:00;0.0;0.0;278.397;0.0
2022-09-02 22:00:00;0.0;0.0;278.397;0.0
2022-09-02 23:00:00;0.0;0.0;278.397;0.0
2022-09-03 00:00:00;0.0;0.0;278.397;0.0
2022-09-03 01:00:00;0.0;0.0;278.397;0.0
2022-09-03 02:00:00;0.0;0.0;278.397;0.0
2022-09-03 03:00:00;0.0;0.0;278.397;0.0
2022-09-03 04:00:00;0.0;0.0;278.397;0.0
2022-09-03 05:00:00;0.0;5.014;278.397;0.0180102515472508
